LEXICON:	lex-ireland.txt	ENG	en_IE
LEXENTRY:	CO-OP	CO-OP	PLACEN	DETACH
LEXENTRY:	COMPANY	COMPANY	PLACEN	DETACH
LEXENTRY:	COPPICE	COPPICE	TYPE	DETACH
LEXENTRY:	COPSE	COPSE	TYPE	DETACH
LEXENTRY:	CORK	CO. CORK	PROV	DETACH
LEXENTRY:	CORNER	CORNER	TYPE	DETACH
LEXENTRY:	CORP	CORP	PLACEN	DETACH
LEXENTRY:	COTTAGES	COTTAGES	TYPE	DETACH
LEXENTRY:	COUNTY CARLOW	CO. CARLOW	PROV	DETACH
LEXENTRY:	COUNTY CAVAN	CO. CAVAN	PROV	DETACH
LEXENTRY:	COUNTY CLARE	CO. CLARE	PROV	DETACH
LEXENTRY:	COUNTY CORK	CO. CORK	PROV	DETACH
LEXENTRY:	COUNTY DONEGAL	CO. DONEGAL	PROV	DETACH
LEXENTRY:	COUNTY DUBLIN	CO. DUBLIN	PROV	DETACH
LEXENTRY:	COUNTY GALWAY	CO. GALWAY	PROV	DETACH
LEXENTRY:	COUNTY KERRY	CO. KERRY	PROV	DETACH
LEXENTRY:	COUNTY KILDARE	CO. KILDARE	PROV	DETACH
LEXENTRY:	COUNTY KILKENNY	CO. KILKENNY	PROV	DETACH
LEXENTRY:	COUNTY LAOIS	CO. LAOIS	PROV	DETACH
LEXENTRY:	COUNTY LEITRIM	CO. LEITRIM	PROV	DETACH
LEXENTRY:	COUNTY LIMERICK	CO. LIMERICK	PROV	DETACH
LEXENTRY:	COUNTY LONGFORD	CO. LONGFORD	PROV	DETACH
LEXENTRY:	COUNTY LOUTH	CO. LOUTH	PROV	DETACH
LEXENTRY:	COUNTY MAYO	CO. MAYO	PROV	DETACH
LEXENTRY:	COUNTY MEATH	CO. MEATH	PROV	DETACH
LEXENTRY:	COUNTY MONAGHAN	CO. MONAGHAN	PROV	DETACH
LEXENTRY:	COUNTY OFFALY	CO. OFFALY	PROV	DETACH
LEXENTRY:	COUNTY ROSCOMMON	CO. ROSCOMMON	PROV	DETACH
LEXENTRY:	COUNTY SLIGO	CO. SLIGO	PROV	DETACH
LEXENTRY:	COUNTY TIPPERARY	CO. TIPPERARY	PROV	DETACH
LEXENTRY:	COUNTY WATERFORD	CO. WATERFORD	PROV	DETACH
LEXENTRY:	COUNTY WESTMEATH	CO. WESTMEATH	PROV	DETACH
LEXENTRY:	COUNTY WEXFORD	CO. WEXFORD	PROV	DETACH
LEXENTRY:	COUNTY WICKLOW	CO. WICKLOW	PROV	DETACH
LEXENTRY:	COURT	COURT	TYPE	DETACH
LEXENTRY:	CPT	CPT	PLACEN	DETACH
LEXENTRY:	CRES	CRESCENT	TYPE	DETACH
LEXENTRY:	CRESCENT	CRESCENT	TYPE	DETACH
LEXENTRY:	CT	COURT	TYPE	DETACH
LEXENTRY:	DALE	DALE	TYPE	DETACH
LEXENTRY:	DONEGAL	CO. DONEGAL	PROV	DETACH
LEXENTRY:	DR	DRIVE	TYPE	DETACH
LEXENTRY:	DRIVE	DRIVE	TYPE	DETACH
LEXENTRY:	DROVE	DROVE	TYPE	DETACH
LEXENTRY:	DUBLIN	CO. DUBLIN	PROV	DETACH
LEXENTRY:	E	E	DIRECT	DETACH
LEXENTRY:	EAST	E	DIRECT	DETACH
LEXENTRY:	EIGHT	8	WORD	DETACH
LEXENTRY:	EIGHTEEN	18	WORD	DETACH
LEXENTRY:	EIGHTEENTH	18TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTH	8TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTIETH	80TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTY	80	WORD	DETACH
LEXENTRY:	ELEVEN	11	WORD	DETACH
LEXENTRY:	ELEVENTH	11TH	WORD,ORD	DETACH
LEXENTRY:	EMBANKMENT	EMBANKMENT	TYPE	DETACH
LEXENTRY:	END	END	TYPE	DETACH
LEXENTRY:	ESTATE	ESTATE	TYPE	DETACH
LEXENTRY:	F	F	UNITH	DETACH
LEXENTRY:	FACTORY	FY	UNITH	DETACH
LEXENTRY:	FIELD	FIELD	TYPE	DETACH
LEXENTRY:	FIELDS	FIELDS	TYPE	DETACH
LEXENTRY:	FIFTEEN	15	WORD	DETACH
LEXENTRY:	FIFTEENTH	15TH	WORD,ORD	DETACH
LEXENTRY:	FIFTH	5TH	WORD,ORD	DETACH
LEXENTRY:	FIFTIETH	50TH	WORD,ORD	DETACH
LEXENTRY:	FIFTY	50	WORD	DETACH
LEXENTRY:	FIRST	1ST	WORD,ORD	DETACH
LEXENTRY:	FIVE	5	WORD	DETACH
LEXENTRY:	FL	FL	UNITH	DETACH
LEXENTRY:	FLAT	F	UNITH	DETACH
LEXENTRY:	FLOOR	FL	UNITH	DETACH
LEXENTRY:	FOLD	FOLD	TYPE	DETACH
LEXENTRY:	FORTIETH	40TH	WORD,ORD	DETACH
LEXENTRY:	FORTY	40	WORD	DETACH
LEXENTRY:	FOUR	4	WORD	DETACH
LEXENTRY:	FOURTEEN	14	WORD	DETACH
LEXENTRY:	FOURTEENTH	14TH	WORD,ORD	DETACH
LEXENTRY:	FOUTH	4TH	WORD,ORD	DETACH
LEXENTRY:	FY	FY	UNITH	DETACH
LEXENTRY:	GALWAY	CO. GALWAY	PROV	DETACH
LEXENTRY:	GARDEN	GARDEN	TYPE	DETACH
LEXENTRY:	GARDENS	GARDENS	TYPE	DETACH
LEXENTRY:	GATE	GATE	TYPE	DETACH
LEXENTRY:	GLADE	GLADE	TYPE	DETACH
LEXENTRY:	GR	GROVE	TYPE	DETACH
LEXENTRY:	GRANGE	GRANGE	TYPE	DETACH
LEXENTRY:	GROVE	GROVE	TYPE	DETACH
LEXENTRY:	HEATH	HEATH	TYPE	DETACH
LEXENTRY:	HIGHWAY	HIGHWAY	TYPE	DETACH
LEXENTRY:	HILL	HILL	TYPE	DETACH
LEXENTRY:	HOUSES	HOUSES	TYPE	DETACH
LEXENTRY:	HWY	HIGHWAY	TYPE	DETACH
LEXENTRY:	IE	IRELAND	NATION	DETACH
LEXENTRY:	IRELAND	IRELAND	NATION	DETACH
LEXENTRY:	IRL	IRELAND	NATION	DETACH
LEXENTRY:	KERRY	CO. KERRY	PROV	DETACH
LEXENTRY:	KILDARE	CO. KILDARE	PROV	DETACH
LEXENTRY:	KILKENNY	CO. KILKENNY	PROV	DETACH
LEXENTRY:	L	L	UNITH	DETACH
LEXENTRY:	LANE	LANE	TYPE	DETACH
LEXENTRY:	LAOIS	CO. LAOIS	PROV	DETACH
LEXENTRY:	LAWN	LAWN	TYPE	DETACH
LEXENTRY:	LEITRIM	CO. LEITRIM	PROV	DETACH
LEXENTRY:	LEVEL	L	UNITH	DETACH
LEXENTRY:	LIMERICK	CO. LIMERICK	PROV	DETACH
LEXENTRY:	LIMITED	LIMITED	PLACEN	DETACH
LEXENTRY:	LN	LANE	TYPE	DETACH
LEXENTRY:	LONGFORD	CO. LONGFORD	PROV	DETACH
LEXENTRY:	LOUTH	CO. LOUTH	PROV	DETACH
LEXENTRY:	LTD	LTD	PLACEN	DETACH
LEXENTRY:	M	M	UNITH	DETACH
LEXENTRY:	MARINE BERTH	MB	UNITH	DETACH
LEXENTRY:	MARKET	MARKET	TYPE	DETACH
LEXENTRY:	MAYO	CO. MAYO	PROV	DETACH
LEXENTRY:	MB	MB	UNITH	DETACH
LEXENTRY:	MEAD	MEADOW	TYPE	DETACH
LEXENTRY:	MEADOW	MEADOW	TYPE	DETACH
LEXENTRY:	MEADOWS	MEADOWS	TYPE	DETACH
LEXENTRY:	MEATH	CO. MEATH	PROV	DETACH
LEXENTRY:	MEWS	MEWS	TYPE	DETACH
LEXENTRY:	MEZZANINE	M	UNITH	DETACH
LEXENTRY:	MONAGHAN	CO. MONAGHAN	PROV	DETACH
LEXENTRY:	MOUNT	MOUNT	TYPE	DETACH
LEXENTRY:	N	N	DIRECT	DETACH
LEXENTRY:	NE	NE	DIRECT	DETACH
LEXENTRY:	NINE	9	WORD	DETACH
LEXENTRY:	NINETEEN	19	WORD	DETACH
LEXENTRY:	NINETEENTH	19TH	WORD,ORD	DETACH
LEXENTRY:	NINETIETH	90TH	WORD,ORD	DETACH
LEXENTRY:	NINETY	90	WORD	DETACH
LEXENTRY:	NINTH	9TH	WORD,ORD	DETACH
LEXENTRY:	NORTH	N	DIRECT	DETACH
LEXENTRY:	NORTHEAST	NE	DIRECT	DETACH
LEXENTRY:	NORTHWEST	NW	DIRECT	DETACH
LEXENTRY:	NW	NW	DIRECT	DETACH
LEXENTRY:	OFF	OFF	UNITH	DETACH
LEXENTRY:	OFFALY	CO. OFFALY	PROV	DETACH
LEXENTRY:	OFFICE	OFF	UNITH	DETACH
LEXENTRY:	ONE	1	WORD	DETACH
LEXENTRY:	ORCHARD	ORCHARD	TYPE	DETACH
LEXENTRY:	OVAL	OVAL	TYPE	DETACH
LEXENTRY:	P.O.	PO BOX	BOXH	DETACH
LEXENTRY:	P.O. BOX	PO BOX	BOXH	DETACH
LEXENTRY:	PADDOCK	PADDOCK	TYPE	DETACH
LEXENTRY:	PARADE	PARADE	TYPE	DETACH
LEXENTRY:	PARK	PARK	TYPE	DETACH
LEXENTRY:	PARKWAY	PARKWAY	TYPE	DETACH
LEXENTRY:	PARTNERSHIP	PARTNERSHIP	PLACEN	DETACH
LEXENTRY:	PASSAGE	PASSAGE	TYPE	DETACH
LEXENTRY:	PATH	PATH	TYPE	DETACH
LEXENTRY:	PDE	PARADE	TYPE	DETACH
LEXENTRY:	PK	PARK	TYPE	DETACH
LEXENTRY:	PKWY	PARKWAY	TYPE	DETACH
LEXENTRY:	PL	PLACE	TYPE	DETACH
LEXENTRY:	PLACE	PLACE	TYPE	DETACH
LEXENTRY:	PLC	PLC	PLACEN	DETACH
LEXENTRY:	PO	PO BOX	BOXH	DETACH
LEXENTRY:	PO BOX	PO BOX	BOXH	DETACH
LEXENTRY:	POST OFFICE BOX	PO BOX	BOXH	DETACH
LEXENTRY:	PRC	PRC	PLACEN	DETACH
LEXENTRY:	PRECINCT	PRECINCT	TYPE	DETACH
LEXENTRY:	PROMENADE	PROMENADE	TYPE	DETACH
LEXENTRY:	QUAY	QUAY	TYPE	DETACH
LEXENTRY:	QUAY 	QUAY	TYPE	DETACH
LEXENTRY:	RD	ROAD	TYPE	DETACH
LEXENTRY:	RIDE	RIDE	TYPE	DETACH
LEXENTRY:	RIDGE	RIDGE	TYPE	DETACH
LEXENTRY:	RISE	RISE	TYPE	DETACH
LEXENTRY:	RM	RM	UNITH	DETACH
LEXENTRY:	ROAD	ROAD	TYPE	DETACH
LEXENTRY:	ROOM	RM	UNITH	DETACH
LEXENTRY:	ROSCOMMON	CO. ROSCOMMON	PROV	DETACH
LEXENTRY:	ROW	ROW	TYPE	DETACH
LEXENTRY:	S	S	DIRECT	DETACH
LEXENTRY:	SE	SE	UNITH,DIRECT	DETACH
LEXENTRY:	SECOND	2ND	WORD,ORD	DETACH
LEXENTRY:	SEVEN	7	WORD	DETACH
LEXENTRY:	SEVENTEEN	17	WORD	DETACH
LEXENTRY:	SEVENTEENTH	17TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTH	7TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTIETH	70TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTY	70	WORD	DETACH
LEXENTRY:	SHED	SHED	UNITH	DETACH
LEXENTRY:	SHED 	SHED	UNITH	DETACH
LEXENTRY:	SHOP	SHOP	UNITH	DETACH
LEXENTRY:	SITE	SITE	UNITH	DETACH
LEXENTRY:	SITE	SE	UNITH	DETACH
LEXENTRY:	SIX	6	WORD	DETACH
LEXENTRY:	SIXTEEN	16	WORD	DETACH
LEXENTRY:	SIXTEENTH	16TH	WORD,ORD	DETACH
LEXENTRY:	SIXTH	6TH	WORD,ORD	DETACH
LEXENTRY:	SIXTIETH	60TH	WORD,ORD	DETACH
LEXENTRY:	SIXTY	60	WORD	DETACH
LEXENTRY:	SL	SL	UNITH	DETACH
LEXENTRY:	SLIGO	CO. SLIGO	PROV	DETACH
LEXENTRY:	SOCIETY	SOCIETY	PLACEN	DETACH
LEXENTRY:	SOUTH	S	DIRECT	DETACH
LEXENTRY:	SOUTHEAST	SE	DIRECT	DETACH
LEXENTRY:	SOUTHWEST	SW	DIRECT	DETACH
LEXENTRY:	SQ	SQUARE	TYPE	DETACH
LEXENTRY:	SQUARE	SQUARE	TYPE	DETACH
LEXENTRY:	ST	STREET	TYPE	DETACH
LEXENTRY:	STALL	SL	UNITH	DETACH
LEXENTRY:	STE	STE	UNITH	DETACH
LEXENTRY:	STR	STREET	TYPE	DETACH
LEXENTRY:	STRAND	STRAND	TYPE	DETACH
LEXENTRY:	STREET	STREET	TYPE	DETACH
LEXENTRY:	SUITE	STE	UNITH	DETACH
LEXENTRY:	SW	SW	DIRECT	DETACH
LEXENTRY:	TCE	TERRACE	TYPE	DETACH
LEXENTRY:	TEN	10	WORD	DETACH
LEXENTRY:	TENTH	10TH	WORD,ORD	DETACH
LEXENTRY:	TEO	TEO	PLACEN	DETACH
LEXENTRY:	TEORANTA	TEORANTA	PLACEN	DETACH
LEXENTRY:	TERRACE	TERRACE	TYPE	DETACH
LEXENTRY:	THIRD	3RD	WORD,ORD	DETACH
LEXENTRY:	THIRTEEN	13	WORD	DETACH
LEXENTRY:	THIRTEENTH	13TH	WORD,ORD	DETACH
LEXENTRY:	THIRTIETH	30TH	WORD,ORD	DETACH
LEXENTRY:	THIRTY	30	WORD	DETACH
LEXENTRY:	THREE	3	WORD	DETACH
LEXENTRY:	TIPPERARY	CO. TIPPERARY	PROV	DETACH
LEXENTRY:	TUNNEL	TUNNEL	TYPE	DETACH
LEXENTRY:	TWELFTH	12TH	WORD,ORD	DETACH
LEXENTRY:	TWELVE	12	WORD	DETACH
LEXENTRY:	TWENTIETH	20TH	WORD,ORD	DETACH
LEXENTRY:	TWENTY	20	WORD	DETACH
LEXENTRY:	TWO	2	WORD	DETACH
LEXENTRY:	U	U	UNITH	DETACH
LEXENTRY:	UNIT	U	UNITH	DETACH
LEXENTRY:	VALE	VALE	TYPE	DETACH
LEXENTRY:	VALLEY	VALLEY	TYPE	DETACH
LEXENTRY:	VIEW	VIEW	TYPE	DETACH
LEXENTRY:	VILLA	VLLA	UNITH	DETACH
LEXENTRY:	VILLAS	VILLAS	TYPE	DETACH
LEXENTRY:	VLLA	VLLA	UNITH	DETACH
LEXENTRY:	W	W	DIRECT	DETACH
LEXENTRY:	WALK	WALK	TYPE	DETACH
LEXENTRY:	WALL	WALL	TYPE	DETACH
LEXENTRY:	WAREHOUSE	WE	UNITH	DETACH
LEXENTRY:	WATERFORD	CO. WATERFORD	PROV	DETACH
LEXENTRY:	WAY	WAY	TYPE	DETACH
LEXENTRY:	WE	WE	UNITH	DETACH
LEXENTRY:	WEST	W	DIRECT	DETACH
LEXENTRY:	WESTMEATH	CO. WESTMEATH	PROV	DETACH
LEXENTRY:	WEXFORD	CO. WEXFORD	PROV	DETACH
LEXENTRY:	WHARF	WHARF	TYPE	DETACH
LEXENTRY:	WICKLOW	CO. WICKLOW	PROV	DETACH
LEXENTRY:	YARD	YARD	TYPE	DETACH
