LEXICON:	lex-usa.txt	ENG	en_US
LEXENTRY:	ANNX	ANX	TYPE	DET_SUF
LEXENTRY:	ANX	ANX	TYPE	DET_SUF
LEXENTRY:	APARTMENT	APT	UNITH	DETACH
LEXENTRY:	APT	APT	UNITH	DETACH
LEXENTRY:	APT.	APT	UNITH	DETACH
LEXENTRY:	AR	Arkansas	PROV	DETACH
LEXENTRY:	ARC	ARC	TYPE	DET_SUF
LEXENTRY:	ARCADE	ARC	TYPE	DET_SUF
LEXENTRY:	ASSOCIATION	ASSOCIATION	PLACEN	DETACH
LEXENTRY:	AUTO	AUTO	PLACEN	DETACH
LEXENTRY:	AV	AVE	TYPE	DET_SUF,DET_PRE
LEXENTRY:	AV OF	AVENUE OF	WORD	DETACH
LEXENTRY:	AV.	AVE	TYPE	DET_PRE,DET_SUF
LEXENTRY:	AV. OF	AVENUE OF	WORD	DETACH
LEXENTRY:	AVE	AVE	TYPE	DET_SUF,DET_PRE
LEXENTRY:	AVE.	AVE	TYPE	DET_PRE,DET_SUF
LEXENTRY:	AVE. OF	AVENUE OF	WORD	DETACH
LEXENTRY:	AVEN	AVE	TYPE	DET_PRE,DET_SUF
LEXENTRY:	AVENU	AVE	TYPE	DET_PRE,DET_SUF
LEXENTRY:	AVENUE	AVE	TYPE	DET_SUF,DET_PRE
LEXENTRY:	AVENUE OF	AVENUE OF	WORD	DETACH
LEXENTRY:	AVN	AVE	TYPE	DET_SUF,DET_PRE
LEXENTRY:	AVNUE	AVE	TYPE	DET_PRE,DET_SUF
LEXENTRY:	AZ	Arizona	PROV	DETACH
LEXENTRY:	BANK	BANK	PLACEN	DETACH
LEXENTRY:	BASEMENT	BASEMENT	UNITH	DETACH
LEXENTRY:	BAYOO	BYU	TYPE	DET_SUF
LEXENTRY:	BAYOU	BYU	TYPE	DET_SUF
LEXENTRY:	BCH	BCH	TYPE	DET_SUF
LEXENTRY:	BEACH	BCH	TYPE	DET_SUF
LEXENTRY:	BEND	BND	TYPE	DET_SUF
LEXENTRY:	BG	BG	TYPE	DET_SUF
LEXENTRY:	BGS	BGS	TYPE	DET_SUF
LEXENTRY:	BLDG	BUILDING	UNITH	DETACH
LEXENTRY:	BLDG.	BUILDING	UNITH	DETACH
LEXENTRY:	BLF	BLF	TYPE	DET_SUF
LEXENTRY:	BLFS	BLFS	TYPE	DET_SUF
LEXENTRY:	BLUF	BLF	TYPE	DET_SUF
LEXENTRY:	BLUFF	BLF	TYPE	DET_SUF
LEXENTRY:	BLUFFS	BLFS	TYPE	DET_SUF
LEXENTRY:	BLVD	BLVD	TYPE	DET_SUF
LEXENTRY:	BLVD OF	BOULEVARD OF	WORD	DETACH
LEXENTRY:	BLVD.	BLVD	TYPE	DET_SUF
LEXENTRY:	BLVD. OF	BOULEVARD OF	WORD	DETACH
LEXENTRY:	BND	BND	TYPE	DET_SUF
LEXENTRY:	BOT	BTM	TYPE	DET_SUF
LEXENTRY:	BOTTM	BTM	TYPE	DET_SUF
LEXENTRY:	BOTTOM	BTM	TYPE	DET_SUF
LEXENTRY:	BOUL	BLVD	TYPE	DET_SUF
LEXENTRY:	BOULEVARD	BLVD	TYPE	DET_SUF
LEXENTRY:	BOULEVARD OF	BOULEVARD OF	WORD	DETACH
LEXENTRY:	BOULV	BLVD	TYPE	DET_SUF
LEXENTRY:	BR	BR	TYPE	DET_SUF
LEXENTRY:	BR.	BR	TYPE	DET_SUF
LEXENTRY:	BRANCH	BR	TYPE	DET_SUF
LEXENTRY:	BRDGE	BRG	TYPE	DET_SUF
LEXENTRY:	BRG	BRG	TYPE	DET_SUF
LEXENTRY:	BRIDGE	BRIDGE	PLACEN	DETACH
LEXENTRY:	BRIDGE	BRG	TYPE	DET_SUF
LEXENTRY:	BRK	BRK	TYPE	DET_SUF
LEXENTRY:	BRKS	BRKS	TYPE	DET_SUF
LEXENTRY:	BRNCH	BR	TYPE	DET_SUF
LEXENTRY:	BROOK	BRK	TYPE	DET_SUF
LEXENTRY:	BROOKS	BRKS	TYPE	DET_SUF
LEXENTRY:	BSMT	BASEMENT	UNITH	DETACH
LEXENTRY:	BSMT.	BASEMENT	UNITH	DETACH
LEXENTRY:	BTM	BTM	TYPE	DET_SUF
LEXENTRY:	BUILDING	BUILDING	UNITH,PLACEN	DETACH
LEXENTRY:	BUREAU	BUREAU	PLACEN	DETACH
LEXENTRY:	BURG	BG	TYPE	DET_SUF
LEXENTRY:	BURGS	BGS	TYPE	DET_SUF
LEXENTRY:	BYP	BYP	TYPE	DET_SUF
LEXENTRY:	BYPA	BYP	TYPE	DET_SUF
LEXENTRY:	BYPAS	BYP	TYPE	DET_SUF
LEXENTRY:	BYPASS	BYP	TYPE	DET_SUF
LEXENTRY:	BYPS	BYP	TYPE	DET_SUF
LEXENTRY:	BYU	BYU	TYPE	DET_SUF
LEXENTRY:	CA	California	PROV	DETACH
LEXENTRY:	CAFE	CAFE	PLACEN	DETACH
LEXENTRY:	CAMP	CMP	TYPE	DET_SUF
LEXENTRY:	CANYN	CYN	TYPE	DET_SUF
LEXENTRY:	CANYON	CYN	TYPE	DET_SUF
LEXENTRY:	CAPE	CPE	TYPE	DET_SUF
LEXENTRY:	CATHEDRAL	CATHEDRAL	PLACEN	DETACH
LEXENTRY:	CAUSEWAY	CSWY	TYPE	DET_SUF
LEXENTRY:	CAUSWAY	CSWY	TYPE	DET_SUF
LEXENTRY:	CEN	CTR	TYPE	DET_SUF
LEXENTRY:	CENT	CTR	TYPE	DET_SUF
LEXENTRY:	CENTER	CENTER	PLACEN	DETACH
LEXENTRY:	CENTER	CTR	TYPE	DET_SUF
LEXENTRY:	CENTERS	CTRS	TYPE	DET_SUF
LEXENTRY:	CENTR	CTR	TYPE	DET_SUF
LEXENTRY:	CENTRE	CTR	TYPE	DET_SUF
LEXENTRY:	CHURCH	CHURCH	PLACEN	DETACH
LEXENTRY:	CIR	CIR	TYPE	DET_SUF
LEXENTRY:	CIRC	CIR	TYPE	DET_SUF
LEXENTRY:	CIRCL	CIR	TYPE	DET_SUF
LEXENTRY:	CIRCLE	CIR	TYPE	DET_SUF
LEXENTRY:	CIRCLES	CIRS	TYPE	DET_SUF
LEXENTRY:	CIRS	CIRS	TYPE	DET_SUF
LEXENTRY:	CK	CRK	TYPE	DET_SUF
LEXENTRY:	CLB	CLB	TYPE	DET_SUF
LEXENTRY:	CLF	CLF	TYPE	DET_SUF
LEXENTRY:	CLFS	CLFS	TYPE	DET_SUF
LEXENTRY:	CLIFF	CLF	TYPE	DET_SUF
LEXENTRY:	CLIFFS	CLFS	TYPE	DET_SUF
LEXENTRY:	CLUB	CLUB	PLACEN	DETACH
LEXENTRY:	CLUB	CLB	TYPE	DET_SUF
LEXENTRY:	CMN	CMN	TYPE	DET_SUF
LEXENTRY:	CMP	CMP	TYPE	DET_SUF
LEXENTRY:	CNTER	CTR	TYPE	DET_SUF
LEXENTRY:	CNTR	CTR	TYPE	DET_SUF
LEXENTRY:	CNYN	CYN	TYPE	DET_SUF
LEXENTRY:	CO	CO	PLACEN	DETACH
LEXENTRY:	CO	Colorado	PROV	DETACH
LEXENTRY:	COLLEGE	COLLEGE	PLACEN	DETACH
LEXENTRY:	COMMON	CMN	TYPE	DET_SUF
LEXENTRY:	COMPANY	COMPANY	PLACEN	DETACH
LEXENTRY:	COR	COR	TYPE	DET_SUF
LEXENTRY:	CORNER	COR	TYPE	DET_SUF
LEXENTRY:	CORNERS	CORS	TYPE	DET_SUF
LEXENTRY:	CORP	CORP	PLACEN	DETACH
LEXENTRY:	CORPORATION	CORPORATION	PLACEN	DETACH
LEXENTRY:	CORS	CORS	TYPE	DET_SUF
LEXENTRY:	COURSE	COURSE	PLACEN	DETACH
LEXENTRY:	COURSE	CRSE	TYPE	DET_SUF
LEXENTRY:	COURT	COURT	PLACEN	DETACH
LEXENTRY:	COURT	CT	TYPE	DET_SUF
LEXENTRY:	COURTS	CTS	TYPE	DET_SUF
LEXENTRY:	COVE	CV	TYPE	DET_SUF
LEXENTRY:	COVES	CVS	TYPE	DET_SUF
LEXENTRY:	CP	CMP	TYPE	DET_SUF
LEXENTRY:	CPE	CPE	TYPE	DET_SUF
LEXENTRY:	CR	CRK	TYPE	DET_SUF
LEXENTRY:	CRCL	CIR	TYPE	DET_SUF
LEXENTRY:	CRCLE	CIR	TYPE	DET_SUF
LEXENTRY:	CREDIT	CREDIT	PLACEN	DETACH
LEXENTRY:	CREEK	CRK	TYPE	DET_SUF
LEXENTRY:	CRES	CRES	TYPE	DET_SUF
LEXENTRY:	CRESCENT	CRES	TYPE	DET_SUF
LEXENTRY:	CRESENT	CRES	TYPE	DET_SUF
LEXENTRY:	CREST	CRES	TYPE	DET_SUF
LEXENTRY:	CRK	CRK	TYPE	DET_SUF
LEXENTRY:	CROSSING	XING	TYPE	DET_SUF
LEXENTRY:	CROSSROAD	XRD	TYPE	DET_SUF
LEXENTRY:	CRSCNT	CRES	TYPE	DET_SUF
LEXENTRY:	CRSE	CRSE	TYPE	DET_SUF
LEXENTRY:	CRSENT	CRES	TYPE	DET_SUF
LEXENTRY:	CRSNT	CRES	TYPE	DET_SUF
LEXENTRY:	CRSSING	XING	TYPE	DET_SUF
LEXENTRY:	CRSSNG	XING	TYPE	DET_SUF
LEXENTRY:	CRT	CT	TYPE	DET_SUF
LEXENTRY:	CSWY	CSWY	TYPE	DET_SUF
LEXENTRY:	CT	Connecticut	PROV	DETACH
LEXENTRY:	CT	CT	TYPE	DET_SUF
LEXENTRY:	CTR	CTR	TYPE	DET_SUF
LEXENTRY:	CTRS	CTRS	TYPE	DET_SUF
LEXENTRY:	CTS	CTS	TYPE	DET_SUF
LEXENTRY:	CU	CU	PLACEN	DETACH
LEXENTRY:	CURV	CURV	TYPE	DET_SUF
LEXENTRY:	CURVE	CURV	TYPE	DET_SUF
LEXENTRY:	CV	CV	TYPE	DET_SUF
LEXENTRY:	CVS	CVS	TYPE	DET_SUF
LEXENTRY:	CYN	CYN	TYPE	DET_SUF
LEXENTRY:	D/B/A	D/B/A	PLACEN	DETACH
LEXENTRY:	DALE	DL	TYPE	DET_SUF
LEXENTRY:	DAM	DM	TYPE	DET_SUF
LEXENTRY:	DC	District of Columbia	PROV	DETACH
LEXENTRY:	DE	Delaware	PROV	DETACH
LEXENTRY:	DELI	DELI	PLACEN	DETACH
LEXENTRY:	DEPARTMENT	DEPARTMENT	UNITH,PLACEN	DETACH
LEXENTRY:	DEPT	DEPARTMENT	UNITH	DETACH
LEXENTRY:	DEPT.	DEPARTMENT	UNITH	DETACH
LEXENTRY:	DISTRICT	DISTRICT	PLACEN	DETACH
LEXENTRY:	DIV	DV	TYPE	DET_SUF
LEXENTRY:	DIVIDE	DV	TYPE	DET_SUF
LEXENTRY:	DL	DL	TYPE	DET_SUF
LEXENTRY:	DM	DM	TYPE	DET_SUF
LEXENTRY:	DR	DR	TYPE	DET_SUF
LEXENTRY:	DR.	DR	TYPE	DET_SUF
LEXENTRY:	DRIV	DR	TYPE	DET_SUF
LEXENTRY:	DRIVE	DR	TYPE	DET_SUF
LEXENTRY:	DRIVES	DRS	TYPE	DET_SUF
LEXENTRY:	DRS	DRS	TYPE	DET_SUF
LEXENTRY:	DRV	DR	TYPE	DET_SUF
LEXENTRY:	DRV.	DR	TYPE	DET_SUF
LEXENTRY:	DV	DV	TYPE	DET_SUF
LEXENTRY:	DVD	DV	TYPE	DET_SUF
LEXENTRY:	E	E.	WORD	DETACH
LEXENTRY:	E	E	DIRECT	DETACH
LEXENTRY:	E.	E	DIRECT	DETACH
LEXENTRY:	EAST	E.	WORD	DETACH
LEXENTRY:	EAST	E	DIRECT	DETACH
LEXENTRY:	EIGHT	8	NUMBER	DETACH
LEXENTRY:	EIGHTEEN	18	NUMBER	DETACH
LEXENTRY:	EIGHTEENTH	18TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTH	8TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTIETH	80TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTY	80	NUMBER	DETACH
LEXENTRY:	ELEVEN	11	NUMBER	DETACH
LEXENTRY:	ELEVENTH	11TH	WORD,ORD	DETACH
LEXENTRY:	EMBASSY	EMBASSY	PLACEN	DETACH
LEXENTRY:	EST	EST	TYPE	DET_SUF
LEXENTRY:	ESTATE	EST	TYPE	DET_SUF
LEXENTRY:	ESTATES	ESTS	TYPE	DET_SUF
LEXENTRY:	ESTS	ESTS	TYPE	DET_SUF
LEXENTRY:	EXPR	EXPY	TYPE	DET_SUF
LEXENTRY:	EXPRESS	EXPY	TYPE	DET_SUF
LEXENTRY:	EXPRESSWAY	EXPY	TYPE	DET_SUF
LEXENTRY:	EXPW	EXPY	TYPE	DET_SUF
LEXENTRY:	EXPY	EXPY	TYPE	DET_SUF
LEXENTRY:	EXT	EXT	TYPE	DET_SUF
LEXENTRY:	EXTENSION	EXT	TYPE	DET_SUF
LEXENTRY:	EXTENSIONS	EXTS	TYPE	DET_SUF
LEXENTRY:	EXTN	EXT	TYPE	DET_SUF
LEXENTRY:	EXTNSN	EXT	TYPE	DET_SUF
LEXENTRY:	EXTS	EXTS	TYPE	DET_SUF
LEXENTRY:	FALL	FALL	TYPE	DET_SUF
LEXENTRY:	FALLS	FLS	TYPE	DET_SUF
LEXENTRY:	FCU	FCU	PLACEN	DETACH
LEXENTRY:	FERRY	FRY	TYPE	DET_SUF
LEXENTRY:	FIELD	FLD	TYPE	DET_SUF
LEXENTRY:	FIELDS	FLDS	TYPE	DET_SUF
LEXENTRY:	FIFTEEN	15	NUMBER	DETACH
LEXENTRY:	FIFTEENTH	15TH	WORD,ORD	DETACH
LEXENTRY:	FIFTH	5TH	WORD,ORD	DETACH
LEXENTRY:	FIFTIETH	50TH	WORD,ORD	DETACH
LEXENTRY:	FIFTY	50	NUMBER	DETACH
LEXENTRY:	FIRST	1ST	WORD,ORD	DETACH
LEXENTRY:	FIVE	5	NUMBER	DETACH
LEXENTRY:	FL	FLOOR	UNITH	DETACH
LEXENTRY:	FL	Florida	PROV	DETACH
LEXENTRY:	FL.	FLOOR	UNITH	DETACH
LEXENTRY:	FLAT	FLT	TYPE	DET_SUF
LEXENTRY:	FLATS	FLTS	TYPE	DET_SUF
LEXENTRY:	FLD	FLD	TYPE	DET_SUF
LEXENTRY:	FLDS	FLDS	TYPE	DET_SUF
LEXENTRY:	FLOOR	FLOOR	UNITH	DETACH
LEXENTRY:	FLS	FLS	TYPE	DET_SUF
LEXENTRY:	FLT	FLT	TYPE	DET_SUF
LEXENTRY:	FLTS	FLTS	TYPE	DET_SUF
LEXENTRY:	FORD	FRD	TYPE	DET_SUF
LEXENTRY:	FORDS	FRDS	TYPE	DET_SUF
LEXENTRY:	FOREST	FRST	TYPE	DET_SUF
LEXENTRY:	FORESTS	FRST	TYPE	DET_SUF
LEXENTRY:	FORG	FRG	TYPE	DET_SUF
LEXENTRY:	FORGE	FRG	TYPE	DET_SUF
LEXENTRY:	FORGES	FRGS	TYPE	DET_SUF
LEXENTRY:	FORK	FRK	TYPE	DET_SUF
LEXENTRY:	FORKS	FRKS	TYPE	DET_SUF
LEXENTRY:	FORT	FT	TYPE	DET_SUF
LEXENTRY:	FORTIETH	40TH	WORD,ORD	DETACH
LEXENTRY:	FORTY	40	NUMBER	DETACH
LEXENTRY:	FOUR	4	NUMBER	DETACH
LEXENTRY:	FOURTEEN	14	NUMBER	DETACH
LEXENTRY:	FOURTEENTH	14TH	WORD,ORD	DETACH
LEXENTRY:	FOUTH	4TH	WORD,ORD	DETACH
LEXENTRY:	FRD	FRD	TYPE	DET_SUF
LEXENTRY:	FRDS	FRDS	TYPE	DET_SUF
LEXENTRY:	FREEWAY	FWY	TYPE	DET_SUF
LEXENTRY:	FREEWY	FWY	TYPE	DET_SUF
LEXENTRY:	FRG	FRG	TYPE	DET_SUF
LEXENTRY:	FRGS	FRGS	TYPE	DET_SUF
LEXENTRY:	FRK	FRK	TYPE	DET_SUF
LEXENTRY:	FRKS	FRKS	TYPE	DET_SUF
LEXENTRY:	FRNT	FRONT	UNITH	DETACH
LEXENTRY:	FRONT	FRONT	UNITH	DETACH
LEXENTRY:	FRRY	FRY	TYPE	DET_SUF
LEXENTRY:	FRST	FRST	TYPE	DET_SUF
LEXENTRY:	FRT	FT	TYPE	DET_SUF
LEXENTRY:	FRWAY	FWY	TYPE	DET_SUF
LEXENTRY:	FRWY	FWY	TYPE	DET_SUF
LEXENTRY:	FRY	FRY	TYPE	DET_SUF
LEXENTRY:	FT	FT	TYPE	DET_SUF
LEXENTRY:	FUND	FUND	PLACEN	DETACH
LEXENTRY:	FWY	FWY	TYPE	DET_SUF
LEXENTRY:	GA	Georgia	PROV	DETACH
LEXENTRY:	GALLERY	GALLERY	PLACEN	DETACH
LEXENTRY:	GARAGE	GARAGE	PLACEN	DETACH
LEXENTRY:	GARDEN	GDN	TYPE	DET_SUF
LEXENTRY:	GARDENS	GDNS	TYPE	DET_SUF
LEXENTRY:	GARDN	GDN	TYPE	DET_SUF
LEXENTRY:	GATEWAY	GTWY	TYPE	DET_SUF
LEXENTRY:	GATEWY	GTWY	TYPE	DET_SUF
LEXENTRY:	GATWAY	GTWY	TYPE	DET_SUF
LEXENTRY:	GDN	GDN	TYPE	DET_SUF
LEXENTRY:	GDNS	GDNS	TYPE	DET_SUF
LEXENTRY:	GLEN	GLN	TYPE	DET_SUF
LEXENTRY:	GLENS	GLNS	TYPE	DET_SUF
LEXENTRY:	GLN	GLN	TYPE	DET_SUF
LEXENTRY:	GLNS	GLNS	TYPE	DET_SUF
LEXENTRY:	GRDEN	GDN	TYPE	DET_SUF
LEXENTRY:	GRDN	GDN	TYPE	DET_SUF
LEXENTRY:	GRDNS	GDNS	TYPE	DET_SUF
LEXENTRY:	GREEN	GRN	TYPE	DET_SUF
LEXENTRY:	GREENS	GRNS	TYPE	DET_SUF
LEXENTRY:	GRILL	GRILL	PLACEN	DETACH
LEXENTRY:	GRN	GRN	TYPE	DET_SUF
LEXENTRY:	GRNS	GRNS	TYPE	DET_SUF
LEXENTRY:	GROUP	GROUP	PLACEN	DETACH
LEXENTRY:	GROV	GRV	TYPE	DET_SUF
LEXENTRY:	GROVE	GRV	TYPE	DET_SUF
LEXENTRY:	GROVES	GRVS	TYPE	DET_SUF
LEXENTRY:	GRV	GRV	TYPE	DET_SUF
LEXENTRY:	GRVS	GRVS	TYPE	DET_SUF
LEXENTRY:	GTWAY	GTWY	TYPE	DET_SUF
LEXENTRY:	GTWY	GTWY	TYPE	DET_SUF
LEXENTRY:	HALL	HALL	PLACEN	DETACH
LEXENTRY:	HANGAR	HANGAR	UNITH	DETACH
LEXENTRY:	HARB	HBR	TYPE	DET_SUF
LEXENTRY:	HARBOR	HBR	TYPE	DET_SUF
LEXENTRY:	HARBORS	HBRS	TYPE	DET_SUF
LEXENTRY:	HARBOUR	HARBOUR	PLACEN	DETACH
LEXENTRY:	HARBR	HBR	TYPE	DET_SUF
LEXENTRY:	HAVEN	HVN	TYPE	DET_SUF
LEXENTRY:	HAVN	HVN	TYPE	DET_SUF
LEXENTRY:	HBR	HBR	TYPE	DET_SUF
LEXENTRY:	HBRS	HBRS	TYPE	DET_SUF
LEXENTRY:	HEIGHT	HTS	TYPE	DET_SUF
LEXENTRY:	HEIGHTS	HTS	TYPE	DET_SUF
LEXENTRY:	HGTS	HTS	TYPE	DET_SUF
LEXENTRY:	HI	Hawaii	PROV	DETACH
LEXENTRY:	HIGHWAY	HWY	TYPE	DET_SUF
LEXENTRY:	HIGHWY	HWY	TYPE	DET_SUF
LEXENTRY:	HILL	HL	TYPE	DET_SUF
LEXENTRY:	HILLS	HLS	TYPE	DET_SUF
LEXENTRY:	HIWAY	HWY	TYPE	DET_SUF
LEXENTRY:	HIWY	HWY	TYPE	DET_SUF
LEXENTRY:	HL	HL	TYPE	DET_SUF
LEXENTRY:	HL.	HL	TYPE	DET_SUF
LEXENTRY:	HLLW	HOLW	TYPE	DET_SUF
LEXENTRY:	HLS	HLS	TYPE	DET_SUF
LEXENTRY:	HNGR	HANGAR	UNITH	DETACH
LEXENTRY:	HOLLOW	HOLW	TYPE	DET_SUF
LEXENTRY:	HOLLOWS	HOLW	TYPE	DET_SUF
LEXENTRY:	HOLW	HOLW	TYPE	DET_SUF
LEXENTRY:	HOLWS	HOLW	TYPE	DET_SUF
LEXENTRY:	HOTEL	HOTEL	PLACEN	DETACH
LEXENTRY:	HOUSE	HOUSE	PLACEN	DETACH
LEXENTRY:	HRBOR	HBR	TYPE	DET_SUF
LEXENTRY:	HT	HTS	TYPE	DET_SUF
LEXENTRY:	HTS	HTS	TYPE	DET_SUF
LEXENTRY:	HVN	HVN	TYPE	DET_SUF
LEXENTRY:	HWAY	HWY	TYPE	DET_SUF
LEXENTRY:	HWY	HWY	TYPE	DET_SUF
LEXENTRY:	IA	Iowa	PROV	DETACH
LEXENTRY:	ID	Idaho	PROV	DETACH
LEXENTRY:	IL	Illinois	PROV	DETACH
LEXENTRY:	IN	Indiana	PROV	DETACH
LEXENTRY:	INC	INC	PLACEN	DETACH
LEXENTRY:	INCORPORATED	INCORPORATED	PLACEN	DETACH
LEXENTRY:	INLET	INLT	TYPE	DET_SUF
LEXENTRY:	INLT	INLT	TYPE	DET_SUF
LEXENTRY:	INN	INN	PLACEN	DETACH
LEXENTRY:	INSTITUTE	INSTITUTE	PLACEN	DETACH
LEXENTRY:	IS	IS	TYPE	DET_SUF
LEXENTRY:	ISLAND	IS	TYPE	DET_SUF
LEXENTRY:	ISLANDS	ISS	TYPE	DET_SUF
LEXENTRY:	ISLE	ISLE	TYPE	DET_SUF
LEXENTRY:	ISLES	ISLE	TYPE	DET_SUF
LEXENTRY:	ISLND	IS	TYPE	DET_SUF
LEXENTRY:	ISLNDS	ISS	TYPE	DET_SUF
LEXENTRY:	ISS	ISS	TYPE	DET_SUF
LEXENTRY:	JCT	JCT	TYPE	DET_SUF
LEXENTRY:	JCTION	JCT	TYPE	DET_SUF
LEXENTRY:	JCTN	JCT	TYPE	DET_SUF
LEXENTRY:	JCTNS	JCTS	TYPE	DET_SUF
LEXENTRY:	JCTS	JCTS	TYPE	DET_SUF
LEXENTRY:	JUNCTION	JCT	TYPE	DET_SUF
LEXENTRY:	JUNCTIONS	JCTS	TYPE	DET_SUF
LEXENTRY:	JUNCTN	JCT	TYPE	DET_SUF
LEXENTRY:	JUNCTON	JCT	TYPE	DET_SUF
LEXENTRY:	KEY	KY	TYPE	DET_SUF
LEXENTRY:	KEYS	KYS	TYPE	DET_SUF
LEXENTRY:	KNL	KNL	TYPE	DET_SUF
LEXENTRY:	KNLS	KNLS	TYPE	DET_SUF
LEXENTRY:	KNOL	KNL	TYPE	DET_SUF
LEXENTRY:	KNOLL	KNL	TYPE	DET_SUF
LEXENTRY:	KNOLLS	KNLS	TYPE	DET_SUF
LEXENTRY:	KS	Kansas	PROV	DETACH
LEXENTRY:	KY	Kentucky	PROV	DETACH
LEXENTRY:	KY	KY	TYPE	DET_SUF
LEXENTRY:	KYS	KYS	TYPE	DET_SUF
LEXENTRY:	LA	Louisiana	PROV	DETACH
LEXENTRY:	LA	LN	TYPE	DET_SUF
LEXENTRY:	LAB	LAB	PLACEN	DETACH
LEXENTRY:	LABORATORIES	LABORATORIES	PLACEN	DETACH
LEXENTRY:	LABORATORY	LABORATORY	PLACEN	DETACH
LEXENTRY:	LABS	LABS	PLACEN	DETACH
LEXENTRY:	LAKE	LK	TYPE	DET_SUF
LEXENTRY:	LAKES	LKS	TYPE	DET_SUF
LEXENTRY:	LAND	LAND	TYPE	DET_SUF
LEXENTRY:	LANDING	LNDG	TYPE	DET_SUF
LEXENTRY:	LANE	LN	TYPE	DET_SUF
LEXENTRY:	LANES	LN	TYPE	DET_SUF
LEXENTRY:	LBBY	LOBBY	UNITH	DETACH
LEXENTRY:	LCK	LCK	TYPE	DET_SUF
LEXENTRY:	LCKS	LCKS	TYPE	DET_SUF
LEXENTRY:	LDG	LDG	TYPE	DET_SUF
LEXENTRY:	LDGE	LDG	TYPE	DET_SUF
LEXENTRY:	LF	LF	TYPE	DET_SUF
LEXENTRY:	LGT	LGT	TYPE	DET_SUF
LEXENTRY:	LGTS	LGTS	TYPE	DET_SUF
