LEXICON:	lex-newzealand.txt	ENG	en_NZ
LEXENTRY:	CT	CT	TYPE	DET_SUF
LEXENTRY:	CTR	CTR	TYPE	DET_SUF
LEXENTRY:	CTS	CTS	TYPE	DET_SUF
LEXENTRY:	CV	CV	TYPE	DET_SUF
LEXENTRY:	DEPARTMENT	DEPT	UNITH	DETACH
LEXENTRY:	DEPT	DEPT	UNITH	DETACH
LEXENTRY:	DIVIDE 	DV	TYPE	DET_SUF
LEXENTRY:	DR	DR	TYPE	DET_SUF
LEXENTRY:	DRIVE 	DR	TYPE	DET_SUF
LEXENTRY:	DV	DV	TYPE	DET_SUF
LEXENTRY:	E	E	DIRECT	DETACH
LEXENTRY:	EAST	E	DIRECT	DETACH
LEXENTRY:	EIGHT	8	NUMBER	DETACH
LEXENTRY:	EIGHTEEN	18	NUMBER	DETACH
LEXENTRY:	EIGHTEENTH	18TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTH	8TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTIETH	80TH	WORD,ORD	DETACH
LEXENTRY:	EIGHTY	80	NUMBER	DETACH
LEXENTRY:	ELEVEN	11	NUMBER	DETACH
LEXENTRY:	ELEVENTH	11TH	WORD,ORD	DETACH
LEXENTRY:	EST	EST	TYPE	DET_SUF
LEXENTRY:	ESTATES 	EST	TYPE	DET_SUF
LEXENTRY:	F	F	UNITH	DETACH
LEXENTRY:	FALLS 	FLS	TYPE	DET_SUF
LEXENTRY:	FERRY 	FRY	TYPE	DET_SUF
LEXENTRY:	FIELD 	FLD	TYPE	DET_SUF
LEXENTRY:	FIELDS 	FLDS	TYPE	DET_SUF
LEXENTRY:	FIFTEEN	15	NUMBER	DETACH
LEXENTRY:	FIFTEENTH	15TH	WORD,ORD	DETACH
LEXENTRY:	FIFTH	5TH	WORD,ORD	DETACH
LEXENTRY:	FIFTIETH	50TH	WORD,ORD	DETACH
LEXENTRY:	FIFTY	50	NUMBER	DETACH
LEXENTRY:	FIRST	1ST	WORD,ORD	DETACH
LEXENTRY:	FIVE	5	NUMBER	DETACH
LEXENTRY:	FL	FL	UNITH	DETACH
LEXENTRY:	FLAT	F	UNITH	DETACH
LEXENTRY:	FLATS 	FLT	TYPE	DET_SUF
LEXENTRY:	FLD	FLD	TYPE	DET_SUF
LEXENTRY:	FLDS	FLDS	TYPE	DET_SUF
LEXENTRY:	FLOOR	FL	UNITH	DETACH
LEXENTRY:	FLS	FLS	TYPE	DET_SUF
LEXENTRY:	FLT	FLT	TYPE	DET_SUF
LEXENTRY:	FORD 	FRD	TYPE	DET_SUF
LEXENTRY:	FOREST 	FRST	TYPE	DET_SUF
LEXENTRY:	FORKS 	FRKS	TYPE	DET_SUF
LEXENTRY:	FORT 	FT	TYPE	DET_SUF
LEXENTRY:	FORTIETH	40TH	WORD,ORD	DETACH
LEXENTRY:	FORTY	40	NUMBER	DETACH
LEXENTRY:	FOUR	4	NUMBER	DETACH
LEXENTRY:	FOURTEEN	14	NUMBER	DETACH
LEXENTRY:	FOURTEENTH	14TH	WORD,ORD	DETACH
LEXENTRY:	FOUTH	4TH	WORD,ORD	DETACH
LEXENTRY:	FRD	FRD	TYPE	DET_SUF
LEXENTRY:	FRKS	FRKS	TYPE	DET_SUF
LEXENTRY:	FRST	FRST	TYPE	DET_SUF
LEXENTRY:	FRY	FRY	TYPE	DET_SUF
LEXENTRY:	FT	FT	TYPE	DET_SUF
LEXENTRY:	GARDENS 	GDNS	TYPE	DET_SUF
LEXENTRY:	GDNS	GDNS	TYPE	DET_SUF
LEXENTRY:	GLEN 	GLN	TYPE	DET_SUF
LEXENTRY:	GLN	GLN	TYPE	DET_SUF
LEXENTRY:	GREEN 	GRN	TYPE	DET_SUF
LEXENTRY:	GRN	GRN	TYPE	DET_SUF
LEXENTRY:	GROUP	GROUP	PLACEN	DETACH
LEXENTRY:	GROVE 	GRV	TYPE	DET_SUF
LEXENTRY:	GRV	GRV	TYPE	DET_SUF
LEXENTRY:	HARBOUR 	HBR	TYPE	DET_SUF
LEXENTRY:	HAVEN 	HVN	TYPE	DET_SUF
LEXENTRY:	HBR	HBR	TYPE	DET_SUF
LEXENTRY:	HEIGHTS 	HTS	TYPE	DET_SUF
LEXENTRY:	HIGHWAY 	HWY	TYPE	DET_SUF
LEXENTRY:	HILL 	HL	TYPE	DET_SUF
LEXENTRY:	HILLS 	HLS	TYPE	DET_SUF
LEXENTRY:	HL	HL	TYPE	DET_SUF
LEXENTRY:	HLS	HLS	TYPE	DET_SUF
LEXENTRY:	HTS	HTS	TYPE	DET_SUF
LEXENTRY:	HVN	HVN	TYPE	DET_SUF
LEXENTRY:	HWY	HWY	TYPE	DET_SUF
LEXENTRY:	IS	IS	TYPE	DET_SUF
LEXENTRY:	ISLAND 	IS	TYPE	DET_SUF
LEXENTRY:	JCT	JCT	TYPE	DET_SUF
LEXENTRY:	JUNCTION 	JCT	TYPE	DET_SUF
LEXENTRY:	KEY	KEY	UNITH	DETACH
LEXENTRY:	L	L	UNITH	DETACH
LEXENTRY:	LANE 	LN	TYPE	DET_SUF
LEXENTRY:	LBBY	LBBY	UNITH	DETACH
LEXENTRY:	LDG	LDG	TYPE	DET_SUF
LEXENTRY:	LEVEL	L	UNITH	DETACH
LEXENTRY:	LIMITED	LIMITED	PLACEN	DETACH
LEXENTRY:	LN	LN	TYPE	DET_SUF
LEXENTRY:	LOBBY	LBBY	UNITH	DETACH
LEXENTRY:	LODGE 	LDG	TYPE	DET_SUF
LEXENTRY:	LOT	LOT	UNITH	DETACH
LEXENTRY:	LOWER	LOWR	UNITH	DETACH
LEXENTRY:	LOWR	LOWR	UNITH	DETACH
LEXENTRY:	LTD	LTD	PLACEN	DETACH
LEXENTRY:	MDWS	MDWS	TYPE	DET_SUF
LEXENTRY:	MEADOWS 	MDWS	TYPE	DET_SUF
LEXENTRY:	MILL 	ML	TYPE	DET_SUF
LEXENTRY:	MILLS 	MLS	TYPE	DET_SUF
LEXENTRY:	MISSION 	MSN	TYPE	DET_SUF
LEXENTRY:	ML	ML	TYPE	DET_SUF
LEXENTRY:	MLS	MLS	TYPE	DET_SUF
LEXENTRY:	MOUNT 	MT	TYPE	DET_SUF
LEXENTRY:	MOUNTAIN 	MTN	TYPE	DET_SUF
LEXENTRY:	MSN	MSN	TYPE	DET_SUF
LEXENTRY:	MT	MT	TYPE	DET_SUF
LEXENTRY:	MTN	MTN	TYPE	DET_SUF
LEXENTRY:	N	N	DIRECT	DETACH
LEXENTRY:	NE	NE	DIRECT	DETACH
LEXENTRY:	NEW ZEALAND	NEW ZEALAND	NATION	DETACH
LEXENTRY:	NINE	9	NUMBER	DETACH
LEXENTRY:	NINETEEN	19	NUMBER	DETACH
LEXENTRY:	NINETEENTH	19TH	WORD,ORD	DETACH
LEXENTRY:	NINETIETH	90TH	WORD,ORD	DETACH
LEXENTRY:	NINETY	90	NUMBER	DETACH
LEXENTRY:	NINTH	9TH	WORD,ORD	DETACH
LEXENTRY:	NORTH	N	DIRECT	DETACH
LEXENTRY:	NORTHEAST	NE	DIRECT	DETACH
LEXENTRY:	NORTHWEST	NW	DIRECT	DETACH
LEXENTRY:	NTH	N	DIRECT	DETACH
LEXENTRY:	NW	NW	DIRECT	DETACH
LEXENTRY:	NZ	NEW ZEALAND	NATION	DETACH
LEXENTRY:	NZL	NEW ZEALAND	NATION	DETACH
LEXENTRY:	OFC	OFC	UNITH	DETACH
LEXENTRY:	OFF	OFC	UNITH	DETACH
LEXENTRY:	OFFICE	OFC	UNITH	DETACH
LEXENTRY:	ONE	1	NUMBER	DETACH
LEXENTRY:	ORCH	ORCH	TYPE	DET_SUF
LEXENTRY:	ORCHARD 	ORCH	TYPE	DET_SUF
LEXENTRY:	P O BOX	P O BOX	BOXH	DETACH
LEXENTRY:	PARKWAY 	PKY	TYPE	DET_SUF
LEXENTRY:	PKY	PKY	TYPE	DET_SUF
LEXENTRY:	PL	PL	TYPE	DET_SUF
LEXENTRY:	PLACE 	PL	TYPE	DET_SUF
LEXENTRY:	PO BOX	P O BOX	BOXH	DETACH
LEXENTRY:	POINT 	PT	TYPE	DET_SUF
LEXENTRY:	POST OFFICE BOX	P O BOX	BOXH	DETACH
LEXENTRY:	PRIVATE BAG	PRIVATE BAG	BOXH	DETACH
LEXENTRY:	PT	PT	TYPE	DET_SUF
LEXENTRY:	R D	R D	BOXH	DETACH
LEXENTRY:	RAPIDS 	RPDS	TYPE	DET_SUF
LEXENTRY:	RD	RD	TYPE	DET_SUF
LEXENTRY:	REAR	REAR	UNITH	DETACH
LEXENTRY:	RIV	RIV	TYPE	DET_SUF
LEXENTRY:	RIVER 	RIV	TYPE	DET_SUF
LEXENTRY:	RM	RM	UNITH	DETACH
LEXENTRY:	ROAD 	RD	TYPE	DET_SUF
LEXENTRY:	ROOM	RM	UNITH	DETACH
LEXENTRY:	RPDS	RPDS	TYPE	DET_SUF
LEXENTRY:	RURAL DELIVERY	R D	BOXH	DETACH
LEXENTRY:	S	S	DIRECT	DETACH
LEXENTRY:	SE	SE	DIRECT	DETACH
LEXENTRY:	SECOND	2ND	WORD,ORD	DETACH
LEXENTRY:	SEVEN	7	NUMBER	DETACH
LEXENTRY:	SEVENTEEN	17	NUMBER	DETACH
LEXENTRY:	SEVENTEENTH	17TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTH	7TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTIETH	70TH	WORD,ORD	DETACH
LEXENTRY:	SEVENTY	70	NUMBER	DETACH
LEXENTRY:	SH	SH	TYPE	DET_SUF
LEXENTRY:	SHORE 	SHR	TYPE	DET_SUF
LEXENTRY:	SHR	SHR	TYPE	DET_SUF
LEXENTRY:	SIX	6	NUMBER	DETACH
LEXENTRY:	SIXTEEN	16	NUMBER	DETACH
LEXENTRY:	SIXTEENTH	16TH	WORD,ORD	DETACH
LEXENTRY:	SIXTH	6TH	WORD,ORD	DETACH
LEXENTRY:	SIXTIETH	60TH	WORD,ORD	DETACH
LEXENTRY:	SIXTY	60	NUMBER	DETACH
LEXENTRY:	SMT	SMT	TYPE	DET_SUF
LEXENTRY:	SOUTH	S	DIRECT	DETACH
LEXENTRY:	SOUTHEAST	SE	DIRECT	DETACH
LEXENTRY:	SOUTHWEST	SW	DIRECT	DETACH
LEXENTRY:	SPACE	SPC	UNITH	DETACH
LEXENTRY:	SPC	SPC	UNITH	DETACH
LEXENTRY:	SPG	SPG	TYPE	DET_SUF
LEXENTRY:	SPGS	SPGS	TYPE	DET_SUF
LEXENTRY:	SPRING 	SPG	TYPE	DET_SUF
LEXENTRY:	SPRINGS 	SPGS	TYPE	DET_SUF
LEXENTRY:	SQ	SQ	TYPE	DET_SUF
LEXENTRY:	SQUARE 	SQ	TYPE	DET_SUF
LEXENTRY:	ST	SAINT	WORD	DETACH
LEXENTRY:	ST	ST	TYPE	DET_SUF
LEXENTRY:	STA	STA	TYPE	DET_SUF
LEXENTRY:	STATE HIGHWAY	SH	TYPE	DET_SUF
LEXENTRY:	STATION 	STA	TYPE	DET_SUF
LEXENTRY:	STE	STE	UNITH	DETACH
LEXENTRY:	STH	S	DIRECT	DETACH
LEXENTRY:	STREAM 	STRM	TYPE	DET_SUF
LEXENTRY:	STREET 	ST	TYPE	DET_SUF
LEXENTRY:	STRM	STRM	TYPE	DET_SUF
LEXENTRY:	SUITE	STE	UNITH	DETACH
LEXENTRY:	SUMMIT 	SMT	TYPE	DET_SUF
LEXENTRY:	SW	SW	DIRECT	DETACH
LEXENTRY:	TEN	10	NUMBER	DETACH
LEXENTRY:	TENTH	10TH	WORD,ORD	DETACH
LEXENTRY:	TER	TER	TYPE	DET_SUF
LEXENTRY:	TERRACE 	TER	TYPE	DET_SUF
LEXENTRY:	THIRD	3RD	WORD,ORD	DETACH
LEXENTRY:	THIRTEEN	13	NUMBER	DETACH
LEXENTRY:	THIRTEENTH	13TH	WORD,ORD	DETACH
LEXENTRY:	THIRTIETH	30TH	WORD,ORD	DETACH
LEXENTRY:	THIRTY	30	NUMBER	DETACH
LEXENTRY:	THREE	3	NUMBER	DETACH
LEXENTRY:	TRUST	TRUST	PLACEN	DETACH
LEXENTRY:	TUNL	TUNL	TYPE	DET_SUF
LEXENTRY:	TUNNEL 	TUNL	TYPE	DET_SUF
LEXENTRY:	TWELFTH	12TH	WORD,ORD	DETACH
LEXENTRY:	TWELVE	12	NUMBER	DETACH
LEXENTRY:	TWENTIETH	20TH	WORD,ORD	DETACH
LEXENTRY:	TWENTY	20	NUMBER	DETACH
LEXENTRY:	TWO	2	NUMBER	DETACH
LEXENTRY:	U	UNIT	UNITH	DETACH
LEXENTRY:	UNIT	UNIT	UNITH	DETACH
LEXENTRY:	UPPER	UPPR	UNITH	DETACH
LEXENTRY:	UPPR	UPPR	UNITH	DETACH
LEXENTRY:	VALLEY 	VLY	TYPE	DET_SUF
LEXENTRY:	VIA	VIA	TYPE	DET_SUF
LEXENTRY:	VIADUCT 	VIA	TYPE	DET_SUF
LEXENTRY:	VIEW 	VW	TYPE	DET_SUF
LEXENTRY:	VILLAGE 	VLG	TYPE	DET_SUF
LEXENTRY:	VIS	VIS	TYPE	DET_SUF
LEXENTRY:	VISTA	VIS	TYPE	DET_SUF
LEXENTRY:	VLG	VLG	TYPE	DET_SUF
LEXENTRY:	VLY	VLY	TYPE	DET_SUF
LEXENTRY:	VW	VW	TYPE	DET_SUF
LEXENTRY:	W	W	DIRECT	DETACH
LEXENTRY:	WEST	W	DIRECT	DETACH
